,id,address,categories,city,postalCode,latitude,longitude,menus.amountMax,menus.amountMin,menus.name,menus.description,menus.dateSeen,province
3654,AVwdgOBsByjofQCxpwnh,738 SW Gage Blvd,"Pizza Place,Restaurant",Topeka,66606,39.05598,-95.72465,4.99,4.99,Kids Pizza,1 topping of your choice,2016-03-08T21:16:24Z,KS
3655,AVweTeaj_7pvs4fzB0by,206 E End Blvd S,"Pizza Place,Pizza,Italian Restaurants,Restaurants,Restaurant",Marshall,75670,32.54415,-94.34997,14.0,14.0,Three Cheese Pizza,"Trio of mozzarella, cheddar and feta cheeses.",2016-05-24T05:54:29Z,TX
3656,AVweTeaj_7pvs4fzB0by,206 E End Blvd S,"Pizza Place,Pizza,Italian Restaurants,Restaurants,Restaurant",Marshall,75670,32.54415,-94.34997,15.0,15.0,Spinach Pizza,"Fresh spinach, onions, roma tomatoes and feta topped with mozzarella and cheddar on our famous thin crust.",2016-05-24T05:54:29Z,TX
3657,AVweTeaj_7pvs4fzB0by,206 E End Blvd S,"Pizza Place,Pizza,Italian Restaurants,Restaurants,Restaurant",Marshall,75670,32.54415,-94.34997,15.0,15.0,Pizza Primavera,"Black olives, green olives, green peppers, onions, roma tomatoes, spinach and mushrooms.",2016-05-24T05:54:29Z,TX
3658,AVwctBa1ByjofQCxhQHe,395 Shanley St,"Pizza Place,bars & clubs",Buffalo,14206,42.882531,-78.798653,4.35,4.35,Pizza,Half,"2016-04-01T06:38:35Z,2016-05-08T21:55:20Z",NY
3659,AVwctBa1ByjofQCxhQHe,395 Shanley St,"Pizza Place,bars & clubs",Buffalo,14206,42.882531,-78.798653,47.95,47.95,Sheet Cheese 1 Item Pizza,With bucket of wings,"2016-04-01T06:38:35Z,2016-05-08T21:55:20Z",NY
3660,AVwctBa1ByjofQCxhQHe,395 Shanley St,"Pizza Place,bars & clubs",Buffalo,14206,42.882531,-78.798653,38.95,38.95,Large Cheese 1 Item Pizza,With bucket of wings,"2016-04-01T06:38:35Z,2016-05-08T21:55:20Z",NY
3661,AVwcm2WmkufWRAb5xDuB,1250 El Camino Real,Pizza Place,Belmont,94002,37.51868606,-122.27429690000001,16.0,16.0,Margherita Pizza,Fresh tomatoes and basil,"2015-10-23T03:19:50Z,2016-03-28T05:41:59Z",CA
3662,AVwcm2WmkufWRAb5xDuB,1250 El Camino Real,Pizza Place,Belmont,94002,37.51868606,-122.27429690000001,18.0,18.0,Pizza A La Totos No.,"Salami, mushrooms and anchovies","2015-10-23T03:19:50Z,2016-03-28T05:41:59Z",CA
3663,AVwcezFAkufWRAb5vmNn,1141 Steamboat Pkwy,"Pizza Place,Pizza,Restaurants",Reno,89521,39.423759999999994,-119.7385,10.49,10.49,Gluten Free Perfect Game Pizza Of The Gods,"Mozzarella, red sauce, fresh garlic, basil, mushroom, tomato, artichoke heart","2016-04-30T08:17:33Z,2017-02-02T18:01:21Z",NV
